quesId,Title,Language(s),AcceptedCount,UnacceptedCount
839,similar string groups,cpp,1,0
840,magic squares in grid,cpp,1,0
841,keys and rooms,cpp,2,0
844,backspace string compare,cpp,1,0
845,longest mountain in array,cpp,1,0
846,hand of straights,cpp,2,0
848,shifting letters,cpp,1,0
851,loud and rich,cpp,2,0
852,peak index in a mountain array,cpp,3,1
853,car fleet,cpp,2,0
857,minimum cost to hire K workers,cpp,1,0
859,buddy strings,cpp,1,1
860,lemonade change,cpp,1,0
861,score after flipping matrix,cpp,2,0
862,shortest subarray with sum at least K,cpp,0,1
863,all nodes distance k in binary tree,cpp,3,0
865,smallest subtree with all the deepest nodes,cpp,1,0
866,prime palindrome,cpp,0,1
867,transpose matrix,cpp,1,0
868,binary gap,cpp,2,0
869,reordered power of 2,cpp,2,0
870,advantage shuffle,cpp,1,0
872,leaf similar trees,cpp,1,0
873,length of longest fibonacci subsequence,cpp,1,1
874,walking robot simulation,cpp,1,0
875,koko eating bananas,cpp,1,1
876,middle of the linked list,cpp,2,0
877,stone game,cpp,2,1
878,Nth magical number,cpp,0,1
881,boats to save people,cpp,1,0
883,projection area of 3D shapes,cpp,2,0
884,uncommon words from two sentences,cpp,2,0
885,spiral matrix III,cpp,1,0
886,possible bipartition,cpp,1,0
888,fair candy swap,cpp,1,1
889,construct binary tree from preorder and postorder traversal,cpp,1,0
890,find and replace pattern,cpp,1,0
892,surface area of 3D shapes,cpp,2,0
893,groups of special equivalent strings,cpp,2,0
895,maximum frequency stack,cpp,1,2
896,monotonic array,cpp,1,0
897,increasing order search tree,cpp,1,0
898,bitwise ORs of subarrays,cpp,0,1
900,RLE iterator,cpp,2,0
901,online stock span problem,cpp,2,0
904,fruit into baskets,cpp,1,1
905,sort array by parity,cpp,1,0
907,sum of subarray minimums,cpp,2,1
908,smallest range I,cpp,1,0
912,sort an array,cpp,5,0
915,partition array into disjoint intervals,cpp,2,1
916,word subsets,cpp,1,1
917,reverse only letters,cpp,2,0
918,maximum sum circular subarray,cpp,1,1
919,complete binary tree inserter,cpp,1,0
921,minimum add to make parentheses valid,cpp,1,0
922,sort array by parity II,cpp,4,0
923,3sum with multiplicity,cpp,0,1
924,minimize malware spread,cpp,1,0
925,long pressed name,cpp,1,0
926,flip string to monotone increasing,cpp,2,0
928,minimize malware spread II,cpp,1,0
929,unique email addresses,cpp,1,0
930,binary subarrays with sum,cpp,3,0
931,minimum falling path sum,cpp,2,2
933,number of recent calls,cpp,1,0
934,shortest bridge,cpp,2,0
935,knight dialer,cpp,1,0
937,reorder data in log files,cpp,1,0
938,range sum of bst,cpp,2,0
939,minimum area rectangle,cpp,2,0
941,valid mountain array,cpp,2,0
944,delete columns to make sorted,cpp,1,0
945,minimum increment to make array unique,cpp,2,0
946,validate stack sequences,cpp,2,0
947,most stones removed with same row or column,cpp,3,1
949,largest time for given digits,cpp,1,0
950,reveal cards in increasing order,cpp,1,0
951,flip equivalent binary trees,cpp,2,0
952,largest component size by common factor,cpp,1,1
953,verifying an alien dictionary,cpp,1,0
958,check completeness of a binary tree,cpp,1,0
959,regions cut by slashes,cpp,2,0
961,n repeated element in size 2n array,cpp,2,0
962,maximum width ramp,cpp,2,1
963,minimum area rectangle II,cpp,1,0
965,univalued binary tree,cpp,2,0
966,vowel spellchecker,cpp,1,0
970,powerful integers,cpp,1,0
971,flip binary tree to match preorder traversal,cpp,1,0
973,K closest points to origin,cpp,3,0
974,subarray sums divisible by K,cpp,1,2
976,largest perimeter triangle,cpp,1,1
977,squares of a sorted array,cpp,2,0
978,longest turbulent subarray,cpp,1,1
979,distribute coins in binary tree,cpp,2,0
981,time based key value store,cpp,1,3
982,triples with bitwise and equal to zero,cpp,0,1
983,minimum costs of tickets,cpp,1,0
985,sum of even numbers after queries,cpp,1,0
986,interval list intersections,cpp,2,0
987,vertical order traversal of a binary tree,cpp,2,0
988,smallest string starting from leaf,cpp,1,0
989,add to array form of integer,cpp,1,0
991,broken calculator,cpp,1,0
992,subarrays with k different integers,cpp,1,1
993,cousins in a binary tree,cpp,2,0
994,rotting oranges,cpp,2,0
995,minimum number of K consecutive bit flips,cpp,1,1
996,number of squareful arrays,cpp,0,1
997,find the town judge,cpp,3,0
999,available captures for rook,cpp,2,0
1002,find common characters,cpp,2,0
1005,maximum sum of array after k negations,cpp,2,0
1007,minimum domino rotations for equal row,cpp,1,0
1008,construct binary search tree from preorder traversal,cpp,1,0
1009,complement of base 10 integer,cpp,3,0
1010,pairs of songs with total durations divisible by 60,cpp,2,1
1011,capacity to ship packages within D days,cpp,1,0
1012,numbers with repeated digits,cpp,0,1
1013,partition array into three parts with equal sum,cpp,1,0
1016,binary string with substrings representing 1 to N,cpp,1,0
1018,binary prefix divisible by 5,cpp,1,0
1019,next greater node in linked list,cpp,1,0
1020,number of enclaves,cpp,3,0
1021,remove outermost parentheses,cpp,2,0
1022,sum of root to leaf binary numbers,cpp,2,0
1023,camelcase matching,cpp,1,0
1024,video stiching,cpp,2,0
1026,maximum difference between node and ancestor,cpp,2,0
1029,two city scheduling,cpp,2,2
1032,stream of characters,cpp,0,1
1034,coloring a border,cpp,1,0
1035,uncrossed lines,cpp,2,0
1037,valid boomerang,cpp,1,0
1038,binary search tree to greater sum tree,cpp,1,0
1041,robot bounded in circle,cpp,1,0
1043,partition array for maximum sum,cpp,1,1
1045,customers who bought all products,sql,1,0
1046,last stone weight,cpp,2,0
1047,remove all adjacent duplicates in string,cpp,1,0
1048,longest string chain,cpp,1,1
1049,last stone weight II,cpp,1,1
1050,actors and directors who cooperated atleast three times,sql,1,0
1051,height checker,cpp,2,0
1052,grumpy bookstore owner,cpp,1,0
1054,distant barcodes,cpp,1,0
1061,lexicographically smallest equivalent string,cpp,1,0
